決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080,列081,列082,列083,列084,列085,列086,列087,列088,列089,列090,列091,列092,列093,列094,列095,列096,列097,列098,列099
2020,47,8,0,12025,函館市,1,函館港,12,1,0,3,1,0,0,0,0,0,3280601,0,0,0,0,30,3,0,0,0,47559,0,0,0,0,0,0,5,5999,6958,28904,12292,3236,0,0,0,0,0,0,0,0,0,0,0,0,196854,14737,268725,95431,220,0,0,0,0,0,0,0,0,0,0,0,0,0,312206,14793,23277,609835,122516,74292,2,0,2,2,2,0,0,0,0,0,港町ふ頭コンテナヤード施設,西ふ頭第３上屋　西ふ頭第４上屋　中央ふ頭上屋　中央ふ頭第１上屋　港町ふ頭コンテナヤード上屋,,船舶給水施設　弁天地区ほか８地区　１２９箇所,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,12033,小樽市,1,小樽港,12,1,0,3,1,0,0,0,0,0,3070701,0,0,0,0,30,1,159725,6594,6518,39764,3,1009,106920,3502,3502,0,13,35422,41774,89911,87757,11600,0,0,0,0,0,0,1,63300,0,0,0,0,235242,124000,178141,178141,0,1,362,84974,67904,73338,0,0,0,0,0,0,0,0,3448,1579,2549,366570,345401,127251,0,0,0,3,0,0,0,0,0,0,,貨物の荷さばき及び仮保管用建物,,港町ふ頭コンテナヤード内の冷凍コンテナ電源設備,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,12114,網走市,1,網走港,12,1,0,3,1,0,0,0,0,0,3410401,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,9,7548,44587,20672,18209,8082,0,0,0,0,0,0,0,0,0,0,0,0,19074,19074,29516,30253,1582,0,0,0,0,0,0,0,0,0,0,0,0,0,5833,1592,1995,56021,50054,11659,0,0,0,3,0,0,0,0,0,0,,,,船舶への給水,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,12122,留萌市,1,留萌港,12,1,0,3,1,0,0,0,0,0,3400401,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3246,10291,2680,1742,1742,3,37600,39710,26590,4236,4236,97843,230000,43495,39885,39885,1,59,116289,10572,10572,0,0,0,0,0,0,0,0,28908,2185,2185,217962,58620,58620,1,0,1,3,1,0,0,0,0,0,,,,船舶給水施設4地区,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,12149,稚内市,1,稚内港,12,1,0,3,1,0,0,0,0,0,3470401,0,0,0,0,30,1,3274,62251,6267,31976,2,516,135341,5703,5703,3542,2,1100,3000,5729,1688,42,0,0,0,0,0,0,0,0,0,0,0,0,120000,0,318600,24829,0,1,29,522019,6279,100768,0,0,0,0,0,0,0,0,67570,9567,32272,981872,54333,168600,3,0,3,3,2,0,1,0,0,0,,公共上屋１号、２号　直接で管理,,稚内港の岸壁、水域、物揚場施設24箇所,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,12190,紋別市,1,紋別港,12,1,0,3,1,0,0,0,0,0,3380401,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,2,2085,25855,7353,7353,0,0,0,0,0,0,0,1,3870,0,2554,0,0,135592,61000,89491,32249,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6348,0,99398,45950,1394,1,0,1,3,1,0,0,0,0,0,,市営1号上屋（漁協で水産物等の一時保管場として使用）、市営2号上屋（肥料会社の倉庫として使用）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,13455,森町,1,森港,12,1,0,4,2,0,0,0,0,0,3580401,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6060,6060,510,510,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,510,5,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,13617,江差町,1,江差港,12,1,0,4,1,0,0,0,0,0,3471228,0,0,0,0,4,0,0,0,0,0,3,1374,33465,0,0,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,13676,奥尻町,1,奥尻港,12,1,0,4,1,0,0,0,0,0,3501022,0,0,0,0,4,0,0,0,0,0,1,739,34439,5076,2297,4844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5076,2297,4844,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,47,8,0,14818,増毛町,1,増毛港,12,1,0,4,1,0,0,0,0,0,3550127,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22324,19300,40520,12871,20129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40520,12871,20129,1,0,1,3,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
