決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080,列081,列082,列083,列084,列085,列086,列087,列088,列089,列090,列091,列092,列093,列094,列095,列096,列097,列098,列099
2020,46,6,0,17500,地方独立行政法人広尾町国民健康保険病院,1,広尾町国民健康保険病院,61,1,7,6,1,7,3,0,0,0,939733,671470,291991,245274,66511,0,0,61779,0,0,0,5915,0,0,268263,209672,33994,18542,2,2,0,0,0.0,6053.0,938779.0,938649.0,558501.0,62037.0,77492.0,0.0,0.0,0.0,240619.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,46.0,46.0,0.0,0.0,84.0,954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.0,0.0,0.0,954.0,0.0,0.0,0.0,0.0,0.0,72746.0,41967.0,30779.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,6,0,47500,地方独立行政法人宮城県立こども病院,1,宮城県立こども病院,61,1,1,6,2,4,3,0,0,0,10369592,10282358,4850468,1595538,3003905,0,328274,362035,0,0,0,142138,0,0,84003,56120,0,0,830,830,0,0,0.0,27053.0,10371540.0,10285837.0,5070040.0,1845720.0,1167168.0,0.0,0.0,0.0,2202909.0,0.0,0.0,0.0,0.0,0.0,0.0,85703.0,83723.0,83723.0,0.0,0.0,1980.0,0.0,5179.0,3231.0,0.0,0.0,3231.0,0.0,0.0,0.0,0.0,1948.0,0.0,-1948.0,0.0,0.0,0.0,0.0,0.0,556016.0,269547.0,286469.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,6,0,47510,地方独立行政法人宮城県立病院機構,2,宮城県立精神医療センター,61,1,4,6,2,9,3,0,0,0,2986454,2953244,1418739,294016,956611,110655,39637,7952,0,0,0,125634,0,0,33085,24124,0,0,0,0,0,0,0.0,8961.0,3037222.0,3019411.0,2113151.0,138408.0,186397.0,0.0,0.0,0.0,581455.0,0.0,0.0,0.0,0.0,0.0,0.0,17811.0,9068.0,9068.0,0.0,0.0,8743.0,0.0,50893.0,125.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,50768.0,0.0,-50768.0,0.0,0.0,979044.0,0.0,0.0,208298.0,87444.0,120854.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,6,0,47510,地方独立行政法人宮城県立病院機構,3,宮城県立がんセンター,61,1,4,6,2,3,3,0,0,0,12514936,12387633,5634491,4102056,1582190,643226,151023,12960,0,0,0,261687,0,0,127196,72540,0,0,0,0,0,0,0.0,54656.0,12552263.0,12408807.0,5130139.0,3997859.0,870130.0,0.0,0.0,0.0,2410679.0,0.0,0.0,0.0,0.0,0.0,0.0,143456.0,76608.0,76608.0,0.0,0.0,66848.0,0.0,37434.0,107.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,37327.0,0.0,-37327.0,0.0,0.0,1644290.0,0.0,0.0,519806.0,229163.0,290643.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,6,0,57500,地方独立行政法人秋田県立病院機構,1,循環器・脳脊髄センター,61,1,2,6,2,5,3,0,0,0,5490398,5386709,2474331,374191,1012100,685769,11703,766730,0,0,0,61885,0,0,102288,10789,0,24091,3313,3313,0,0,0.0,64095.0,6202391.0,5924985.0,2967568.0,659516.0,1167622.0,0.0,0.0,0.0,1130279.0,0.0,0.0,0.0,0.0,0.0,0.0,275657.0,20507.0,20507.0,0.0,0.0,255150.0,0.0,711645.0,1401.0,0.0,0.0,1401.0,1749.0,0.0,1749.0,0.0,711993.0,0.0,-711993.0,0.0,0.0,1708658.0,0.0,0.0,301795.0,123410.0,178217.0,0.0,0.0,168.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,6,0,57500,地方独立行政法人秋田県立病院機構,2,リハビリテーション・精神医療センター,61,1,4,6,1,3,3,0,0,0,4394129,4298115,2425959,246586,1381090,135420,20709,47133,0,0,0,41218,0,0,95997,76364,0,5,8912,8912,0,0,0.0,10716.0,4382435.0,4154742.0,2835013.0,365093.0,284534.0,0.0,0.0,0.0,670102.0,0.0,0.0,0.0,0.0,0.0,0.0,227693.0,110745.0,110745.0,0.0,0.0,116948.0,11677.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,11694.0,0.0,0.0,11694.0,0.0,0.0,1592874.0,0.0,0.0,350425.0,154469.0,195802.0,0.0,0.0,154.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,6,0,57510,地方独立行政法人市立秋田総合病院,1,秋田総合病院,61,1,2,6,2,2,3,0,0,0,10461252,10333740,5731976,2977818,729947,112314,365076,234653,0,0,0,181956,0,0,90384,10124,0,0,19358,19358,0,0,0.0,60902.0,11196444.0,10711247.0,6148404.0,2437176.0,460627.0,0.0,0.0,0.0,1665040.0,0.0,0.0,0.0,0.0,0.0,0.0,475149.0,14698.0,14698.0,0.0,0.0,460451.0,0.0,762272.0,37128.0,0.0,0.0,37128.0,10048.0,0.0,10048.0,0.0,735192.0,0.0,-735192.0,0.0,0.0,0.0,0.0,0.0,615691.0,264707.0,349727.0,0.0,0.0,1257.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,6,0,67500,地方独立行政法人山形県・酒田市病院機構,1,日本海総合病院（法人内診療所含む）,61,1,3,6,1,1,3,0,0,0,22695678,21299052,12918826,6073818,1328106,0,0,399287,0,0,0,579015,0,0,1384792,93054,0,1222768,19767,19767,0,0,0.0,49203.0,21239083.0,20068568.0,8332476.0,6048051.0,1576420.0,0.0,0.0,0.0,4111621.0,0.0,0.0,0.0,0.0,0.0,0.0,1140923.0,156940.0,156940.0,0.0,0.0,983983.0,1474353.0,0.0,11834.0,0.0,259.0,11575.0,29592.0,82.0,29510.0,1456595.0,0.0,166237.0,1622832.0,0.0,0.0,1421160.0,0.0,0.0,1027041.0,478958.0,538439.0,0.0,0.0,9644.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,6,0,67500,地方独立行政法人山形県・酒田市病院機構,2,日本海酒田リハビリテーション病院,61,1,3,6,2,5,3,0,0,0,1204951,1189587,1020107,39457,100558,0,0,15449,0,0,0,14016,0,0,13267,5098,0,2759,374,374,0,0,0.0,5036.0,1370413.0,1324988.0,769769.0,21438.0,80635.0,0.0,0.0,0.0,453146.0,0.0,0.0,0.0,0.0,0.0,0.0,45156.0,10184.0,10184.0,0.0,0.0,34972.0,0.0,167290.0,2097.0,0.0,0.0,2097.0,269.0,0.0,269.0,0.0,165462.0,8009.0,-157453.0,0.0,0.0,105656.0,0.0,0.0,149940.0,85846.0,64094.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,46,6,0,87500,地方独立行政法人茨城県西部医療機構,1,茨城県西部メディカルセンター,61,1,3,6,2,4,3,0,0,0,5778680,5693954,2417087,1049908,245475,0,1021173,800263,0,0,0,160048,0,0,84726,27596,0,0,159,159,0,0,0.0,56971.0,5887908.0,5858197.0,2901355.0,717853.0,916936.0,0.0,0.0,0.0,1322053.0,0.0,0.0,0.0,0.0,0.0,0.0,28640.0,27749.0,27749.0,0.0,0.0,891.0,0.0,108157.0,0.0,0.0,0.0,0.0,1071.0,0.0,1071.0,0.0,109228.0,0.0,-109228.0,0.0,413700.0,0.0,0.0,0.0,309151.0,142182.0,141970.0,0.0,0.0,5097.0,19902.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
