[AGNHY625],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
令和2年度決算,,,,,,,,,,,,,,,,,,,,
,,,,,,05  施設及び業務概況に関する調,,,,,,,,,,,,,,
,,,,,,,,,,,(施  設  別),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,列,,,,,,,,,,
,,   項     　　　　　　目,,,, 行,,数　　　値,,番,,,,,,,,,,
,,,,,,,,,,号,,,,,,,,,,
,,,,,1．明　　  治,0,1.0,0,,(1),,,,,(注)下記事項について記入すること。,,,,,
,,,,,2．大　 　 正,,,,,,,,,,　14.事業内容(具体的に),,,,,
,,,,,3．昭 　 　和,,,,,,,,,,,,,,,(25)
,,,,,4．平　  　成,,,,,,,,,,,,,,,
,,,,,5．令　  　和,,,,,,,,,,,,,,,
,,,,,3．昭　 　 和,,,0,,(2),,,,,,,,,,
,,,,,4．平　  　成,,,,,,,,,,,,,,,
,,,,,5．令　  　和,,,,,,,,,,,,,,,
,,,,,,,,,,(3),,,,,,,,,,
,,,,,2.条 例 全 部,,,,, (4),,,,,,,,,,
,,,,,3.条 例 財 務,,,,,,,,,,,,,,,
,,,,,1.設　  　 置,,,,, (5),,,,,,,,,,
,,,,,2.非  設   置,,,,,,,,,,,,,,,
,5.　路　　　　線　　　　数　　　(本),,,,,,,0,,(6),,,,,,,,,,
,6.　斜　　　　　　　　　長　　　(ｍ),,,,,,,0,,(7),,,,,,,,,,
,7.　搬　　　　器　　　　数　　　(個),,,,,,,0,,(8),,,,,,,,,,
,,,,,,,,,,(9),,,,,,,,,,
,8.  年　間　営　業　日　数　　　(日),,,,,,,0,,(10),,,,,,,,,,
,9.　年　間　輸　送　人　員　　(千人),,,,,,,0,,(11),,,,表示単位に注意すること。,,,,,,
,,,,,,,,,,(12),,,,,,,,,,
,10. 料　　　金　(円)　　　税　込　み,,,,,,,0,,(13),,,,,,,,,,
,,(1)損　益　勘　定　所　属　職　員,,,,,,0,,(14),,,,,,,,,,
,,(2)資　本　勘　定　所　属　職　員,,,,,,0,,(15),,,,,,,,,,
,,,,計,,,,0,,(16),,,,,,,,,,
,,,,,代行制,,,,,,,,,,,,,,,
,12.指定管理者制度,,,,利用料金制,,,, (17),,,,,,,,,,,
,,,,,無,,,,,,,,,,,,,,,
,,01  自    治    体     職      員,,,,,,,,,,,,,,,,,,
,,02  民    間   企    業   出   身,,,,,,,,,,,,,,,,,,
,,03  学  術・研  究  機  関  出 身,,,,,,, (18),,,,,,,,,,,
,,04  そ           の            他,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,(19),,,,,,,,,,
,,,,,,,,0,,(20),,,,,,,,,,
,,,,,,,,0,,(21),,,,,,,,,,
,,,,,,,,0,,(22),,,,,,,,,,
,,,,,,,,0,,(23),,,,,,,,,,
,,,,,,,,0,,(24),,,,,,,,,,
