[AGNHY854],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
令和2年度決算,,,,,,,,,,,,,,,,,,
,,,,,,,17  施設及び業務概況に関する調,,,,,,,,,,,
,,,,,,,,,　　　　　　　　　　(施　設　別),,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,列,,,,,,,,
,,   項     　　　　　　目,,,,, 行,,     数             値,番,,, 項         　　目,, 行,,数             値,
,,,,,,,,,,号,,,,,,,,
,,,,1.  温          泉,,,0,1.0,,,,,,,0,1.0,0,(27)
,,,,2.  観  光  会  館,,,,,,,,,,,,,0,(28)
,,,,3.        城 ,,,,,,,,,　　　　　計,,,,0,(29)
,,,,4.  公          園,,,,,,,,,,代行制,,,,
,,,,5.  動  植  物  園,,,,,,,,8.指定管理者制度,,利用料金制,,,, (30)
, 1．事業の種類,,,6.  博    物    館,,,,,, (1),,,,無,,,,
,,,,7.  資    料    館,,,,,,,,,,,,,0,(31)
,,,,8.  水    族    館,,,,,,,,,,,,,0,(32)
,,,,9.  休 憩 施 設 等,,,,,,,,,,,,,0,(33)
,,,,10. そ    の    他,,,,,,,,,,,,,0,(34)
,,,,,,1．明　 　治,,,0,(2),,,,,,,0,(35)
,,,,,,2．大     正,,,,,,,,,,,0,(36)
, 2. 事業開始年月日,,,,,3．昭     和,,,,,,,,,,,,
,,,,,,4．平     成,,,,,,(注),,,,,,
,,,,,,5．令     和,,,,,,1.,欄外の「施設名」は、〇〇温泉､〇〇城等と記入のこと。,,,,,
,,,,,,,,,,(3),,2.,本表は施設別に作成のこと。,,,,,
,,,,,,,,,,(4),,,,,,,,
,,,,,,,,,,(5),,,,,,,,
,,,,,,,,,,,,3.,下記事項について記入すること。,,,,,
,,,,,,,,,,(6),,,9.その他内容,,,,,
,,,,,,,,,,,,,,,,,,(37)
, 3．建     物     面     積  ( ㎡ ),,,,,,,,0,(7),,,,,,,,
, 4．施     設     面     積  ( ㎡ ),,,,,,,,0,(8),,,10.事業許認可関係法令名,,,,,
,,,(1)延   利   用   回  数(回),,,,,,0,(9),,,,,,,,(38)
,,,(2)延   利   用   戸  数(戸),,,,,,0,(10),,,,,,,,
,,,(3)延   利   用   人  員(人),,,,,,0,(11),,,11.事業内容(具体的に),,,,,
,,,,,,,,,,(12),,,,,,,,(39)
,,,,,　定　　　　額,,,,0,(13),,,,,,,,
,6.,,,,,,,,0,(14),,,,,,,,
,, (2)観光会館,,,, 午       前,,,0,(15),,,,,,,,
,料,,ホール使用料,,, 午       後,,,0,(16),,,,,,,,
,,,平        日,,, 夜       間,,,0,(17),,,,,,,,
,,,         (円),,, 全       日,,,0,(18),,,,,,,,
,金,,,, 一           般,,,,0,(19),,,,,,,,
,,, ア  個  人,, 学           生,,,,0,(20),,,,,,,,
,,,　　　 (円),, 小  中  学   生,,,,0,(21),,,,,,,,
,,,,, 一           般,,,,0,(22),,,観光施設でないものを報告しないこと。,,,,,
,,, イ  団  体,, 学           生,,,,0,(23),,,,,,,,
,,,　　   (円),, 小  中  学   生,,,,0,(24),,,,,,,,
,, (4) そ         の         他,,,,,,,0,(25),,,,,,,,
,,,,,,,,,,(26),,,,,,,,
