[AGNHY813],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
令和2年度決算,,,,,,,,,,,10  施設及び業務概況に関する調,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,列,,,,,,,,,,,
,,   項  　　　   　　　　　　目,,,,, 行,,数　　　値,,番,,, 　  項 　　　　　　　　　　目,,,,, 行,,数　　　値,
,,,,,,,,,,,号,,,,,,,,,,,
,,,,,, 1．明        治,0,1.0,0,,(1),,,(1)  終  末  処  理  場  数  (箇所),,,,,0,1.0,0,(38)
,1.,建 設 事 業 開 始,,,, 2．大        正,,,,,,,,,ア 高    度    処    理  (箇所),,,,,,0,(39)
,,年      月     日,,,, 3．昭        和,,,,,,,,,イ 高    級    処    理  (箇所),,,,,,0,(40)
,,,,,, 4．平        成,,,,,,,,,ウ 中    級    処    理  (箇所),,,,,,0,(41)
,,,,,, 5．令        和,,,,,,,,,エ                       (箇所),,,,,,0,(42)
,,,,,, 2．大        正,,,0,,(2),,10.,(2) 計  画  処  理  能  力  ,,,,,,,0,(43)
,2.,,,,, 3．昭        和,,,,,,,,(3) 現 在 処,,,ア  晴  天  時 ,,,,0,(44)
,,,,,, 4．平        成,,,,,,,処,　  理 能 力,,,イ  雨  天  時 ,,,,0,(45)
,,,,,, 5．令        和,,,,,,,,(4) 現在最大,,,ア  晴  天  時 ,,,,0,(46)
,3. ,特 別 会 計 設 置,,,, 3．昭        和,,,0,,(3),,, 　 処理水量,,,イ  雨  天  時 ,,,,0,(47)
,,年      月     日,,,, 4．平        成,,,,,,,理,(5) 現在晴天時平均処理水量   ,,,,,,,0,(48)
,,,,,, 5．令        和,,,,,,,,(6) 年  間  総  処  理  水  量,,,,,,,0,(49)
,4.  下  水  道  事  業  実  施  状  況,,,,,,,,0,,(4),,,内,ア 汚   水  処  理  水  量,,,,,,0,(50)
,,,,,,,,,,,(5),,場,訳,イ 雨   水  処  理  水  量,,,,,,0,(51)
,,,,,,,,,,,(6),,,(7) 年   間   有   収   水  量,,,,,,,0,(52)
,,(1)　行　政　区　域　内　人　口(人),,,,,,,0,,(7),,,(8) 汚 泥 処,,,ア 汚   泥   量,,,,0,(53)
,7.,(2)  市    街    地    人    口(人),,,,,,,0,,(8),,,　  理 能 力,,,イ 含   水   率   (%),,,,0,(54)
,,(3)  全   体   計  画   人   口(人),,,,,,,0,,(9),,,(9) 年 間 総 汚 泥 処 分 量  ,,,,,,,0,(55)
,普,(4)  現 在 排 水 区 域 内 人 口(人),,,,,,,0,,(10),,,(1) ポ   ン   プ   場   数   (箇所),,,,,,,0,(56)
,,(5)  現 在 処 理 区 域 内 人 口(人),,,,,,,0,,(11),,,(2) 排    水,,,ア 晴  天  時  ,,,,0,(57)
,及,(6)  現 在 水洗便所設置済 人 口(人),,,,,,,0,,(12),,,    能    力,,,イ 雨  天  時  ,,,,0,(58)
,,(7)  行   政   区  域   面   積(ha),,,,,,,0,,(13),,,(1) 損 益 勘 定 所 属 職 員    (人),,,,,,,0,(59)
,状,(8)  市    街    地    面    積(ha),,,,,,,0,,(14),,12.,,ア 管     渠     部    門  (人),,,,,,0,(60)
,,(9)  全   体   計   画  面   積(ha),,,,,,,0,,(15),,職,内,イ ポ  ン  プ  場  部  門  (人),,,,0,2.0,0,(1)
,況,(10) 現 在  排 水  区  域 面 積(ha),,,,,,,0,,(16),,員,訳,ウ 処   理   場   部   門  (人),,,,,,0,(2)
,,(11) 現  在  処 理  区 域 面 積(ha),,,,,,,0,,(17),,数,,エ その他〔　　,,,　　〕部門  (人),,,0,(3)
, チ     ェ     ッ     ク  　 (1.～7.),,,,,,,,0,,(18),,(人),(2) 資 本 勘 定 所 属 職 員    (人),,,,,,,0,(4)
,,(1) 総     事     業     費  (千円),,,,,,,0,,(19),,,　　　　　　　計,,,,　　　　　 (人),,,0,(5)
,8.,,ア,,,,,,0,,(20),,合流管比率（合流管／下水管布設延長）,,,,,,,,0,(6)
,,,イ 地     方      債     (千円),,,,,,0,,(21),,,,,,,,,,0,(7)
,事,,ウ 受  益  者  負  担  金(千円),,,,,,0,,(22),,"処理開始年月日：2大正,3昭和,4平成,5令和",,,,,,,,0,(8)
,,,エ 流域下水道建設費負担金(千円),,,,,,0,,(23),,処理開始年月日（処理区域別）,,,,,,,,0,(9)
,,,オ そ       の      他   (千円),,,,,,0,,(24),,,,１年間の修繕・改良・更新管渠延長(km),,,,,,0,(10)
,業,,ア 管        渠        費(千円),,,,,,0,,(25),,,,,,修　繕　延　長(km),,,,0,(11)
,,,イ ポ   ン   プ   場   費(千円),,,,,,0,,(26),,,,,,改良・更新延長(km),,,,0,(12)
