決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2013,46,12,1,12050,室蘭市,0,,11,1,0,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3320401,3570601,0,3,2,14047370.0,1294635.0,10850.0,846265.0,25314.0,0.0,13750683.0,1294635.0,0.0,0.0,296687.0,0.0,20170.0,381213.0,18900.0,0.0,3.0,448370.0,528759.0,317506.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,12,1,12068,釧路市,0,,11,1,0,3,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3441202,3441202,0,3,2,22599977.0,2123697.0,10642.0,1550435.0,21992.0,0.0,21803824.0,1705198.0,0.0,0.0,796153.0,418499.0,0.0,0.0,0.0,0.0,0.0,450988.0,886149.0,368061.0,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,12,1,12131,苫小牧市,0,,11,1,0,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3350401,3410401,0,3,2,1527352.0,121396.0,12582.0,82526.0,18508.0,0.0,1449417.0,121396.0,0.0,0.0,77935.0,0.0,0.0,0.0,0.0,0.0,0.0,38870.0,32114.0,50412.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,12,1,12238,根室市,0,,11,1,0,3,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3440401,3440401,0,3,2,400640.0,129637.0,3090.0,82058.0,11983.0,0.0,400640.0,129637.0,0.0,0.0,0.0,0.0,8811.0,11970.0,1359.0,0.0,20.0,47579.0,41387.0,40671.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,12,1,120006,千葉県,0,,11,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3360401,3380601,0,2,1,959303033.0,30976197.0,30969.0,21425749.0,44773.0,0.0,958952284.0,21274815.0,4501455.0,1614235.0,350749.0,9701382.0,230403.0,12010097.0,52126.0,0.0,20.0,0.0,19204920.0,2069895.0,145.0,0.0,145.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,12,1,130001,東京都,0,,11,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3360401,3390401,0,3,2,1888803000.0,27391000.0,68957.0,14619611.0,123454.0,0.0,1809463938.0,25834000.0,14545005.0,251000.0,79339062.0,1557000.0,36538.0,13870469.0,379618.0,0.0,20.0,11214389.0,13376455.0,1243156.0,65.0,30.0,95.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,12,1,141003,横浜市,0,,11,1,0,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3300401,3300401,0,3,2,603715624.0,1903412.0,317175.0,902848.0,668679.0,0.0,583774450.0,1211295.0,0.0,0.0,19941174.0,692117.0,20204.0,13326651.0,659605.0,0.0,23.0,582444.0,426318.0,202533.0,17.0,10.0,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,12,1,150002,新潟県,0,,11,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3380801,3380801,0,3,2,178065000.0,15332000.0,11614.0,15332000.0,11614.0,0.0,144945043.0,14040597.0,0.0,0.0,33119957.0,1291403.0,47119.0,616695.0,13088.0,0.0,20.0,0.0,13356148.0,684449.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,12,1,170003,石川県,0,,11,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3410401,3510101,0,3,2,5935002.0,1050040.0,5652.0,994782.0,5966.0,0.0,5935002.0,1050040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55258.0,924838.0,69944.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,12,1,180009,福井県,0,,11,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3450401,3460801,0,2,2,130513000.0,12357000.0,10562.0,10782000.0,12105.0,0.0,118229011.0,11863489.0,0.0,0.0,12283989.0,493511.0,24887.0,312453.0,12554.0,0.0,20.0,1378893.0,10004098.0,480498.0,0.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
