決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080
2013,46,11,3,12025,函館市,1,温泉供給事業施設,17,1,0,3,1,0,0,0,0,0,1,3150401,3271001,0,2,1,0,16428,0,1291,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,,,函館市湯川地区の旅館・厚生施設・民家・公衆浴場への湧出温泉の供給。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,52159,仙北市,1,田沢湖高原温泉,17,1,0,3,1,0,0,0,0,0,1,3360823,3360823,0,2,2,208,1227,0,652,0,0,17850,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,,温泉法,　田沢湖高原地区及び水沢地区の旅館、保養所等への温泉供給を行っており、供給戸数は平成２５年度末までに５３戸となっている。供給料は１口につき９キロリットル／日となっており、全体では１５２口（１３６８キロリットル／日）を供給している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,90000,栃木県,1,栃木県民ゴルフ場,17,1,0,1,2,0,0,0,0,0,10,4041001,4040401,0,2,2,1503,715000,0,0,23808,0,0,0,0,0,0,0,5800,4460,0,0,0,0,0,0,13,0,13,2,ゴルフ場,都市計画法、都市公園法、河川法,栃木県民ゴルフ場の運営（規模18ホール、面積71.5ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,90000,栃木県,2,栃木県本町合同ビル,17,1,0,1,1,0,0,0,0,0,10,4150401,4140401,0,2,2,8571,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,賃貸ビル,,本町合同ビルの運営（地上９階、地下１階）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,100005,群馬県,1,上武ゴルフ場,17,1,0,1,1,0,0,0,0,0,10,3461024,3450401,0,2,1,1160,464540,0,0,52984,0,0,0,0,0,0,0,4530,2250,2250,0,0,0,0,0,5,0,5,2,ゴルフ場,,パブリックゴルフ場の経営／所在地：太田市徳川町／コース１８Ｈ、６６０７ヤード、パー７２／利用料金：平日４５３０円　土日祝日７０３０円,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,100005,群馬県,2,玉村ゴルフ場,17,1,0,1,1,0,0,0,0,0,10,3510919,3500401,0,2,1,2688,1141330,0,0,99543,0,0,0,0,0,0,0,5000,2625,2625,0,0,0,0,0,0,0,0,2,ゴルフ場,,パブリックゴルフ場の経営／所在地佐波郡玉村町大字角渕、川井／コース：（玉村コース）１８Ｈ、６５７２ヤード、パー７２　（新玉村コース）１８Ｈ、６９１３ヤード、パー７２／利用料金：（玉村コース）平日５０００円　土日祝日９０００円　（新玉村コース）平日４１９０円　土日祝日８０００円,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,100005,群馬県,3,前橋ゴルフ場,17,1,0,1,1,0,0,0,0,0,10,3541023,3520401,0,2,1,1118,446036,0,0,47851,0,0,0,0,0,0,0,4350,2200,2200,0,0,0,0,0,0,0,0,2,ゴルフ場,,パブリックゴルフ場の経営／所在地前橋市川原町／コース：１８Ｈ、６３３１ヤード、パー７２／利用料金：平日４３５０円　土日祝日７５５０円,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,100005,群馬県,4,板倉ゴルフ場,17,1,0,1,1,0,0,0,0,0,10,3591021,3571021,0,2,1,1361,479845,0,0,51200,0,0,0,0,0,0,0,6000,3000,3000,0,0,0,0,0,0,0,0,2,ゴルフ場,,パブリックゴルフ場の経営／所在地：邑楽郡板倉町大字板倉／コース：１８Ｈ、６５５４ヤード、パー７２／利用料金：（一般）平日６０００円　土日祝日１１０００円　（県民）平日５５００円　土日祝日９５００円,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,104248,長野原町,1,長野原町営浅間園,17,1,0,4,2,0,0,0,0,0,6,3420418,3440401,0,2,2,5025,595080,0,0,47518,0,0,0,0,0,0,0,600,600,300,450,300,200,3000,0,4,0,4,3,,自然公園法,浅間火山博物館、浅間記念館（二輪車展示館）等によるドライブイン事業を行う。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,104256,嬬恋村,1,バラギ高原嬬恋スキー場,17,1,0,4,2,0,0,0,0,0,10,3591215,3630401,0,3,2,7551,140760,0,0,16183,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,2,スキー場,鉄道事業法,　指定管理者制度により地元業者に運営委託している。主な事業は索道、レストラン、売店など。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,104264,草津町,1,草津国際スキー場,17,1,0,4,1,0,0,0,0,0,10,3350305,3370401,0,3,2,13459,232490,0,0,1989379,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,2,0,2,2,スキー場,鉄道事業法（索道事業許可）,スキー場施設の索道、ゲレンデコース、食堂施設の管理及び改良工事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,104264,草津町,2,温泉温水供給,17,1,0,4,1,0,0,0,0,0,10,3481203,3620401,0,3,2,1531,25576,0,2698,2418010,0,0,2877,0,0,0,0,200,0,100,160,0,80,0,0,12,0,12,3,温泉及び温水の供給,,温泉源泉管理を行い、旅館施設等への温泉供給。また高温泉を熱交換により温水を作り町内の旅館一般家庭等への温水供給も行っている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,104264,草津町,3,草津町健康増進センター大滝乃湯,17,1,0,4,1,0,0,0,0,0,9,3581026,3620401,0,3,2,1932,5171,0,0,270348,0,0,0,0,0,0,0,800,800,400,720,720,360,0,0,0,0,0,2,,公衆浴場営業許可（県知事）,有料温泉施設の浴場、食堂、休憩室等の管理及び改良工事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,104264,草津町,4,草津町健康増進センター西の河原露天風呂,17,1,0,4,1,0,0,0,0,0,9,3621106,3620401,0,3,2,80,2120,0,0,207977,0,0,0,0,0,0,0,500,500,300,450,450,270,0,0,0,0,0,2,,公衆浴場営業許可（県知事）,有料温泉施設の浴場、休憩所等の管理及び改良工事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,104264,草津町,5,草津高原ゴルフ場事業,17,1,0,4,1,0,0,0,0,0,10,4130330,4130321,0,3,2,4139,675707,0,0,15321,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,2,ゴルフ場,,ゴルフ場施設におけるコース、食堂施設の管理及び改良工事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,104434,片品村,1,スノーパルオグナほたか,17,1,0,4,1,0,0,0,0,0,10,3501228,4020401,0,3,2,2164,358248,0,0,77730,0,0,0,0,0,0,0,3360,3360,2580,0,0,0,0,0,0,0,0,2,スキー場,鉄道事業法,平成２０年度から武尊山観光開発株式会社を指定管理者として、ｽﾉｰﾊﾟﾙｵｸﾞﾅほたかの管理をお願いしている。（リフト、食堂、売店、レンタル）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,122262,富津市,1,富津市温泉供給事業,17,1,0,3,2,0,0,0,0,0,1,3460820,3460820,0,3,2,10,198,0,6534,42411,0,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,温泉法,「富津市温泉供給事業特別会計条例」、「富津市温泉供給事業の設置等に関する条例」及び「富津市温泉供給事業条例」に基づき、公衆の福祉、衛生、観光等富津市将来の発展に寄与することを目的とし、温泉を公共の浴用に供給するものであります。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,11,3,143847,湯河原町,1,湯河原温泉,17,1,0,4,2,0,0,0,0,0,1,3320901,3440401,0,2,1,439,6190,0,100471,0,0,0,29933,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,,地方公営企業法、温泉法,温泉の供給事業。町の温泉と流入契約している源泉所有者からの買上温泉をあわせて温泉契約者に配湯し、料金収入を得る。配湯戸数272戸、配湯量656074?、流入本数29本、流入量1071875?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
