決算年度,業務コード,業種コード,事業コード,団体コード,団体名,施設コード,施設名,表番号,行番号,条件1,条件2,条件3,条件4,条件5,条件6,条件7,条件8,列001,列002,列003,列004,列005,列006,列007,列008,列009,列010,列011,列012,列013,列014,列015,列016,列017,列018,列019,列020,列021,列022,列023,列024,列025,列026,列027,列028,列029,列030,列031,列032,列033,列034,列035,列036,列037,列038,列039,列040,列041,列042,列043,列044,列045,列046,列047,列048,列049,列050,列051,列052,列053,列054,列055,列056,列057,列058,列059,列060,列061,列062,列063,列064,列065,列066,列067,列068,列069,列070,列071,列072,列073,列074,列075,列076,列077,列078,列079,列080,列081,列082,列083,列084,列085,列086,列087,列088,列089,列090,列091,列092,列093,列094,列095,列096,列097,列098,列099
2019,46,1,0,11002,札幌市,1,施設001,21,1,1,2,1,0,1,1,2,2,2159212,1183046,0,257075,722810,4322143,1377231,1377231,0,0,12417183,424588,66058,126014,4060727,448790,305258,0,5970187.0,904175.0,2763684.0,1315558.0,234324.0,752446.0,992286.0,0.0,0.0,1331727.0,31842192.0,7490.0,624.0,2430900.0,2280853.0,78283.0,71764.0,1350250.0,184765.0,7473.0,937123.0,220889.0,3781150.0,27416.0,11141.0,581350.0,0.0,0.0,581350.0,27.0,1256065.0,1039.0,23338.0,505.0,47.0,0.0,0.0,19998.0,31862190.0,0.0,175.0,42202.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,1,0,12025,函館市,1,末端給水事業,21,1,2,3,1,0,3,2,1,3,434216,214143,0,61257,139345,848961,246587,246587,0,0,1445599,70715,8434,36060,166119,25301,49910,1060,986405.0,251724.0,316746.0,381393.0,36542.0,0.0,44424.0,0.0,0.0,175578.0,4105153.0,1400.0,116.0,481510.0,464384.0,17126.0,0.0,238187.0,15329.0,0.0,186937.0,35921.0,719697.0,5493.0,2704.0,47887.0,0.0,0.0,47887.0,4.0,101277.0,76.0,11482.0,514.0,25.0,0.0,112994.0,0.0,4218147.0,0.0,7285.0,7317.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,1,0,12033,小樽市,1,水道事業,21,1,1,3,1,0,4,2,2,2,206152,110876,0,22835,67095,406958,210550,210550,0,0,1041961,57148,2204,16913,16829,2282,35225,8366,387999.0,187669.0,33247.0,152879.0,14204.0,0.0,18055.0,0.0,0.0,153355.0,2357845.0,747.0,62.0,233645.0,227051.0,6594.0,0.0,127825.0,18719.0,0.0,88054.0,21052.0,361470.0,2859.0,1240.0,97973.0,0.0,0.0,97973.0,5.0,313979.0,197.0,5004.0,484.0,63.0,0.0,0.0,0.0,2357845.0,0.0,43.0,43.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,1,0,12033,小樽市,5,簡易水道事業,21,1,3,3,1,1,1,4,5,1,0,0,0,0,0,0,12532,12532,0,0,34960,4204,54,131,41,0,34,0,5457.0,0.0,5123.0,334.0,0.0,0.0,1004.0,63244.0,45150.0,4735.0,126396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126396.0,0.0,6266.0,6266.0,0.0,0.0,12532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,1,0,12041,旭川市,1,末端給水事業,21,1,2,3,1,0,2,2,2,3,300054,159616,0,73479,95031,628180,403830,403829,1,0,2808763,203011,7360,14917,113158,2172,85544,0,598309.0,243820.0,238065.0,108509.0,7915.0,0.0,50286.0,0.0,0.0,333344.0,5248874.0,1152.0,96.0,366806.0,356192.0,10614.0,0.0,195030.0,23006.0,579.0,141189.0,30256.0,561836.0,4058.0,1873.0,434.0,0.0,0.0,434.0,1.0,2009.0,6.0,403.0,488.0,2.0,552.0,0.0,0.0,5249426.0,0.0,8274.0,15394.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,1,0,12050,室蘭市,1,末端給水事業,21,1,1,3,1,0,5,2,1,2,72234,40798,101,0,24015,137148,131261,131261,0,0,714875,91618,3986,11710,39646,2152,51323,0,223155.0,80063.0,94239.0,22346.0,12247.0,14260.0,7571.0,0.0,0.0,99351.0,1513796.0,282.0,24.0,90679.0,87151.0,3528.0,0.0,49895.0,6464.0,674.0,33805.0,8952.0,140574.0,1016.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,0.0,17793.0,0.0,0.0,1531589.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,1,0,12068,釧路市,1,末端給水事業,21,1,2,3,1,0,3,2,1,2,216536,122055,12344,37439,73678,462052,269693,269693,0,0,2034899,181398,3469,24280,374005,2866,146789,0,481754.0,188374.0,94552.0,182442.0,16386.0,0.0,15335.0,0.0,0.0,223427.0,4219967.0,953.0,80.0,290200.0,282417.0,7783.0,0.0,162396.0,14356.0,811.0,110991.0,36238.0,452596.0,3522.0,1642.0,88143.0,0.0,0.0,88143.0,4.0,190836.0,158.0,1940.0,475.0,48.0,28462.0,0.0,0.0,4248429.0,0.0,13576.0,17053.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,1,0,12076,帯広市,1,帯広市水道事業,21,1,1,3,1,0,3,2,3,2,156785,81092,0,37868,51204,326949,261266,261266,0,0,1480954,66990,3430,23287,50501,1073,14336,0,162217.0,45839.0,36151.0,65272.0,14955.0,0.0,15769.0,970271.0,582163.0,222073.0,3599116.0,628.0,52.0,182525.0,178164.0,4361.0,0.0,94990.0,8398.0,0.0,67015.0,19577.0,277515.0,2153.0,764.0,24485.0,0.0,0.0,24485.0,12.0,55685.0,391.0,549.0,442.0,5.0,0.0,0.0,0.0,3599116.0,0.0,0.0,0.0,0.0,0.0,261266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,1,0,12084,北見市,1,末端給水事業,21,1,1,3,1,0,4,2,2,2,124644,76104,0,17129,42023,259900,301043,301016,0,27,1256505,117829,2943,16220,178272,0,75084,2151,620655.0,260774.0,278689.0,67152.0,14040.0,0.0,63919.0,0.0,0.0,81955.0,2976476.0,518.0,42.0,144652.0,140062.0,4590.0,0.0,89457.0,16299.0,0.0,55954.0,17204.0,234109.0,1654.0,716.0,28978.0,0.0,0.0,28978.0,12.0,55039.0,50.0,0.0,452.0,5.0,13089.0,82603.0,0.0,3072168.0,0.0,23689.0,25801.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,46,1,0,12092,夕張市,1,水道施設,21,1,1,3,2,0,9,2,2,1,8167,4314,1794,0,3004,17279,19340,19340,0,0,259395,0,0,319,11755,0,0,0,129446.0,8332.0,3085.0,0.0,118029.0,0.0,98.0,0.0,0.0,19461.0,457093.0,24.0,2.0,8167.0,7927.0,240.0,0.0,4064.0,487.0,0.0,3202.0,375.0,12231.0,93.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,457093.0,0.0,730.0,359.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
